"id";"usuario_sig_id";"data";"serie";"mgc_valor";"mgc_percentual";"venda_valor";"created_by";"created_at";"updated_at"
"2";"84";"2023-01-01";"DIG";"148500,000000";"55";"270000,000000";"108";"2023-03-10 14:06:53";"2023-03-28 08:56:57"
"3";"73";"2023-01-01";"OP";"727000,000000";"31";"2345161,290323";"108";"2023-03-10 14:31:51";"2023-03-24 10:12:15"
"1";"84";"2023-01-01";"OP";"1932500,000000";"23";"8402173,913044";"108";"2023-03-10 14:05:34";"2023-03-29 08:24:30"
"4";"73";"2023-01-01";"DIG";"110000,000000";"55";"200000,000000";"108";"2023-03-10 14:32:11";"2023-03-10 14:33:16"
"140";"71";"2023-01-01";"DIG";"27500,000000";"55";"50000,000000";"318";"2024-02-09 11:23:04";"2024-02-09 11:23:04"
"139";"71";"2023-01-01";"OP";"5650,000000";"28";"20178,571429";"318";"2024-02-09 11:23:04";"2024-02-09 11:23:04"
"7";"72";"2023-01-01";"OP";"621500,000000";"22";"2825000,000000";"318";"2023-03-10 14:33:13";"2023-03-24 10:12:05"
"8";"77";"2023-01-01";"OP";"1092000,000000";"32,5";"3360000,000000";"318";"2023-03-10 14:33:15";"2023-03-24 10:12:46"
"9";"70";"2023-01-01";"OP";"398000,000000";"29";"1372413,793103";"318";"2023-03-10 14:33:17";"2023-03-24 10:13:04"
"10";"58";"2023-01-01";"OP";"1290500,000000";"35";"3687142,857143";"318";"2023-03-10 14:33:26";"2023-03-24 10:13:13"
"11";"72";"2023-01-01";"DIG";"27500,000000";"55";"50000,000000";"318";"2023-03-10 14:35:57";"2023-03-10 15:14:55"
"12";"66";"2023-01-01";"OP";"382500,000000";"31";"1233870,967742";"108";"2023-03-10 14:59:02";"2023-03-24 10:12:55"
"13";"66";"2023-01-01";"DIG";"82500,000000";"55";"150000,000000";"108";"2023-03-10 14:59:23";"2023-03-10 14:59:30"
"14";"299";"2023-01-01";"OP";"402000,000000";"32";"1256250,000000";"108";"2023-03-10 15:00:23";"2023-03-24 10:14:22"
"15";"299";"2023-01-01";"DIG";"110000,000000";"55";"200000,000000";"108";"2023-03-10 15:00:31";"2023-03-10 15:00:33"
"16";"65";"2023-01-01";"OP";"279000,000000";"23";"1213043,478261";"108";"2023-03-10 15:02:16";"2023-03-24 10:15:45"
"17";"65";"2023-01-01";"DIG";"66000,000000";"55";"120000,000000";"108";"2023-03-10 15:02:24";"2023-03-10 15:02:26"
"18";"95";"2023-01-01";"OP";"639500,000000";"31,5";"2030158,730159";"108";"2023-03-10 15:07:16";"2023-07-03 15:02:45"
"19";"95";"2023-01-01";"DIG";"148500,000000";"55";"270000,000000";"108";"2023-03-10 15:07:26";"2023-03-28 08:57:04"
"20";"306";"2023-01-01";"OP";"459500,000000";"32";"1435937,500000";"108";"2023-03-10 15:08:11";"2023-03-29 08:24:51"
"21";"306";"2023-01-01";"DIG";"148500,000000";"55";"270000,000000";"108";"2023-03-10 15:08:17";"2023-03-28 08:57:08"
"22";"353";"2023-01-01";"OP";"161000,000000";"27";"596296,296296";"108";"2023-03-10 15:10:09";"2023-03-24 10:12:23"
"23";"353";"2023-01-01";"DIG";"55000,000000";"55";"100000,000000";"108";"2023-03-10 15:10:17";"2023-03-10 15:10:18"
"24";"352";"2023-01-01";"OP";"312500,000000";"30";"1041666,666667";"108";"2023-03-10 15:11:18";"2023-03-24 10:13:21"
"25";"352";"2023-01-01";"DIG";"137500,000000";"55";"250000,000000";"108";"2023-03-10 15:11:26";"2023-03-10 15:11:27"
"26";"76";"2023-01-01";"OP";"1514000,000000";"32";"4731250,000000";"108";"2023-03-10 15:13:39";"2023-03-24 10:12:39"
"27";"76";"2023-01-01";"DIG";"220000,000000";"55";"400000,000000";"108";"2023-03-10 15:13:48";"2023-03-10 15:13:50"
"28";"78";"2023-01-01";"OP";"446000,000000";"33";"1351515,151515";"108";"2023-03-10 15:18:23";"2023-03-24 10:13:39"
