"idGPrint";"idUsuarioSIG";"cidade";"UF";"regiao";"status"
"47078";"73";"Maceió";"AL";"AL";"ATIVO"
"54831";"66";"Arapiraca";"AL";"AL";"ATIVO"
"6112";"65";"Maceió";"AL";"AL";"ATIVO"
"55443";"81";"Fortaleza";"CE";"OUTROS";"ATIVO"
"49982";;"Fortaleza";"CE";"OUTROS";"CANCELADO"
"15";"71";"Natal";"RN";"OUTROS";"ATIVO"
"44271";"17";"João Pessoa";"PB";"OUTROS";"CANCELADO"
"24";"72";"João Pessoa";"PB";"DIR";"ATIVO"
"38906";"74";"João Pessoa";"PB";"OUTROS";"CANCELADO"
"41535";"76";"Campina Grande";"PB";"CG";"ATIVO"
"5";"70";"Natal";"RN";"RN";"ATIVO"
"6";"58";"João Pessoa";"PB";"JPAI";"ATIVO"
"61679";"78";"João Pessoa";"PB";"JPAE";"ATIVO"
"3735";"80";"João Pessoa";"PB";"OUTROS";"CANCELADO"
"10";"85";"João Pessoa";"PB";"JPAE";"ATIVO"
"3736";;"João Pessoa";"PB";"OUTROS";"CANCELADO"
"12";"63";"João Pessoa";"PB";"JPAE";"ATIVO"
"49717";"59";"João Pessoa";"PB";"OUTROS";"ATIVO"
"66908";"84";"Salvador";"BA";"BA";"ATIVO"
"26";"60";"João Pessoa";"PB";"JPAI";"ATIVO"
"25";"43";"João Pessoa";"PB";"DIR";"ATIVO"
"47715";;"João Pessoa";"PB";"OUTROS";"CANCELADO"
"41652";"64";"João Pessoa";"PB";"JPAE";"ATIVO"
"4";"75";"Caruaru";"PE";"PE";"ATIVO"
"33347";"77";"Recife";"PE";"PE";"ATIVO"
"53312";"67";"Recife";"PE";"PE";"ATIVO"
"63120";"69";"Recife";"PE";"OUTROS";"ATIVO"
"7";;"Sousa";"PB";"OUTROS";"CANCELADO"
"9";;"Recife";"PE";"OUTROS";"CANCELADO"
"34076";"68";"Recife";"PE";"PE";"ATIVO"
"70244";"82";"Petrolina";"PE";"PE";"ATIVO"
"74312";"95";"Salvador";"BA";"BA";"ATIVO"
"91162";"269";"João Pessoa";"PB";"OUTROS";"ATIVO"
"92110";"299";"Maceió";"AL";"AL";"ATIVO"
"92983";"306";"Salvador";"BA";"BA";"ATIVO"
"95005";"319";"Recife";"PE";"PE";"ATIVO"
"52633";"381";"JOAO PESSOA";"PB";"OUTROS";"ATIVO"
"100525";"353";"Fortaleza";"CE";"OUTROS";"CANCELADO"
"100269";"352";"Fortaleza";"CE";"CE";"ATIVO"
"100650";"355";"Recife";"PE";"PE";"ATIVO"
"102309";"369";"Petrolina";"PE";"PE";"ATIVO"
"103997";"384";"Fortaleza";"CE";"CE";"ATIVO"
"103998";"385";"Fortaleza";"CE";"CE";"ATIVO"
"110123";"536";"Recife";"PE";"PE";"ATIVO"
"110746";"543";"MACEIÓ";"AL";"AL";"ATIVO"
"115414";"113";"JOAO PESSOA";"PB";"OUTROS";"ATIVO"
